Participant's Ward	Participant Code	Buddy1	Buddy2	Buddy3	Age
Unit1	YW1	YW10	YW18	YW27	15.18
Special1	YW2	YW36	YW20	YW21	18.3
Special1	YW3	YW20	YW54	YW6	16.73
Special2	YW4	YW58	YW47	YW46	13.45
Unit4	YM1	YM26			13.84
Special2	YM2	YM9	YM51	YM62	15.97
Unit5	YW5	YW57	YW45	YW56	14.03
Unit2	YM3	YM28	YM39	YM48	13.31
Special2	YM4		YM67	YM19	13.86
Special2	YM5	YM8	YM53		17.24
Special1	YW6	YW20	YW28	YW35	16.79
Special1	YW7	YW43	YW59		16.04
Special1	YM6	YM19	YM35	YM46	14.62
Unit1	YM7	YM30	YM77		13.92
Special1	YM8				17.58
Special1	YM9				15.48
Unit5	YM10	YM32	YM22	YM21	15.35
Unit5	YM11	YM24	YM44		13.76
Unit1	YW8	YW9	YW16		13.64
Special2	YM12	YM62			16.1
Unit1	YM13	YM16			16.62
Special1	YM14	YM9	YM46	YM70	15.48
Unit3	YW9	YW8	YW16		13.53
Special2	YM15	YM35	YM52	YM6	16.01
Unit1	YM16	YM13	YM49	YM51	16.45
Special1	YM17		YM49	YM8	17.3
Unit1	YW10	YW1	YW36	YW21	15.45
Special1	YW11	YW69	YW34	YW25	14.82
Special1	YM18	YM8	YM53	YM37	17.79
Special1	YM19	YM6	YM67		15.28
Special2	YW12	YW47	YW58	YW46	13.96
Unit1	YM20	YM1	YM42	YM30	13.74
Special2	YW13	YW54	YW3		15.52
Unit3	YW14	YW21	YW21		18
Unit4	YW15	YW18	YW41	YW70	13.26
Unit5	YM21	YM55	YM32	YM22	15.72
Unit5	YM22	YM21	YM55	YM56	15.07
Unit5	YM24	YM11			13.26
Unit4	YM25	YM61	YM79	YM27	16.85
Unit4	YM26	YM1			13.52
Unit4	YM27	YM25	YM8	YM40	16.92
Unit3	YW16				14.46
Unit2	YW17	YW26	YW27		16
Unit2	YM28	YM60			15.73
Unit2	YM29	YM61			18.57
Unit4	YW18	YW27	YW41	YW23	14.99
Unit1	YM30				13.47
Unit4	YM31	YM61	YM25	YM79	17.18
Unit5	YM32	YM21	YM55	YM56	15.67
Unit1	YM33	YM13	YM16	YM9	16.57
Unit5	YW19	YW62	YW50	YW53	16.31
